date,Petr Pavel,Andrej Babiš,Danuše Nerudová,Petr Fiala,Vít Rakušan,Miloš Vystrčil,Pavel Fischer,Ivan Bartoš,Filip Turek,Markéta Pekarová Adamová,Martin Stropnický,Marek Hilšer,Klára Laurenčíková,Lenka Bradáčová,Josef Středula,Jaromír Jágr,Tomio Okamura,Adéla Šípová,Miroslava Němcová,Alena Schillerová,Karel Havlíček,Věra Jourová
23. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
24. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
25. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
26. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
27. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
28. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
29. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
30. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
31. 12. 23,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
1. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
2. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
3. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
4. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
5. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
6. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
7. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
8. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
9. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
10. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
11. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
12. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
13. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
14. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
15. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
16. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
17. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
18. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
19. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
20. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
21. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
22. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
23. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
24. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
25. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
26. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
27. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,,1.5,1.4,1.4,1.3,,1.1,1.1,1.1,1.1
28. 1. 24,45.9,6.6,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.8,1.1,1.1,1.1,1.1
29. 1. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
30. 1. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
31. 1. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
1. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
2. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
3. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
4. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
5. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
6. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
7. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
8. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
9. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
10. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
11. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
12. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
13. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
14. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
15. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
16. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
17. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
18. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
19. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
20. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
21. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.8,1.5,1.4,1.4,1.3,1.5,1.1,1.1,1.1,1.1
22. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
23. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
24. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
25. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
26. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
27. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
28. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
29. 2. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
1. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
2. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
3. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
4. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
5. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
6. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
7. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
8. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
9. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
10. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
11. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
12. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
13. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
14. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
15. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
16. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
17. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
18. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
19. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
20. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
21. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
22. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
23. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
24. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
25. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
26. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
27. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
28. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
29. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
30. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
31. 3. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
30. 5. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
31. 5. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
1. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
2. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
3. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
4. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
5. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
6. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
7. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
8. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
9. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.5,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
10. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,0.8,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
11. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,1.7,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
12. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,1.7,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
13. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,1.8,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
14. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
15. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
16. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
17. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
18. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
19. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
20. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
21. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
22. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
23. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
24. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
25. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
26. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
27. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
28. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
29. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
30. 6. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
1. 7. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
2. 7. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
3. 7. 24,45.9,7.1,7.1,6.1,4.6,3.7,3.1,2.3,2.3,1.7,1.7,1.7,1.5,1.5,1.4,1.4,1.3,1.3,1.1,1.1,1.1,1.1
